Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-08-02,2943.9,2945.5,2914.11,2932.05,2152588889
2019-08-05,2898.07,2898.07,2822.12,2844.74,2507627778
2019-08-06,2861.18,2884.4,2847.42,2881.77,2307911111
2019-08-07,2858.65,2892.17,2825.71,2883.98,2495416667
2019-08-08,2896.21,2938.72,2894.47,2938.09,2281316667
2019-08-09,2930.51,2935.75,2900.15,2918.65,1861466667
2019-08-12,2907.07,2907.58,2873.14,2882.7,1584238889
2019-08-13,2880.72,2943.31,2877.05,2926.32,2140888889
2019-08-14,2894.15,2894.15,2839.64,2840.6,2395850000
2019-08-15,2846.2,2856.67,2825.51,2847.6,2243333333
2019-08-16,2864.74,2893.63,2864.74,2888.68,1943416667
2019-08-19,2913.48,2931,2913.48,2923.65,1784933333
2019-08-20,2919.01,2923.63,2899.6,2900.51,1703500000
2019-08-21,2922.04,2928.73,2917.91,2924.43,1672883333
2019-08-22,2930.94,2939.08,2904.51,2922.95,1606044444
2019-08-23,2911.07,2927.01,2834.97,2847.11,2187388889
2019-08-26,2866.7,2879.27,2856,2878.38,1587555556
2019-08-27,2893.14,2898.79,2860.59,2869.16,1963127778
2019-08-28,2861.28,2890.03,2853.05,2887.94,1720788889
2019-08-29,2910.37,2930.5,2905.67,2924.58,1764550000
2019-08-30,2937.09,2940.43,2913.32,2926.46,1671361111
2019-09-03,2909.01,2914.39,2891.85,2906.27,1903772222
2019-09-04,2924.67,2938.84,2921.86,2937.78,1757366667
2019-09-05,2960.6,2985.86,2960.6,2976,2161500000
2019-09-06,2980.33,2985.03,2972.51,2978.71,1782377778
2019-09-09,2988.43,2989.43,2969.39,2978.43,2223827778
2019-09-10,2971.01,2979.39,2957.01,2979.39,2439316667
2019-09-11,2981.41,3000.93,2975.31,3000.93,2181972222
2019-09-12,3009.08,3020.74,3000.92,3009.57,2106588889
2019-09-13,3012.21,3017.33,3002.9,3007.39,1955588889
2019-09-16,2996.41,3002.19,2990.67,2997.96,2374800000
2019-09-17,2995.67,3006.21,2993.73,3005.7,2039911111
2019-09-18,3001.5,3007.83,2978.57,3006.73,1908633333
2019-09-19,3010.36,3021.99,3003.16,3006.79,1806272222
2019-09-20,3008.42,3016.37,2984.68,2992.07,3385966667
2019-09-23,2983.5,2999.15,2982.23,2991.78,1770327778
2019-09-24,3002.43,3007.98,2957.73,2966.6,2148977778
2019-09-25,2968.35,2989.82,2952.86,2984.87,1843816667
2019-09-26,2985.73,2987.28,2963.71,2977.62,1709577778
2019-09-27,2985.47,2987.31,2945.53,2961.79,1802027778
2019-09-30,2967.07,2983.85,2967.07,2976.74,1804227778
2019-10-01,2983.69,2992.53,2938.7,2940.25,1976688889
2019-10-02,2924.78,2924.78,2874.93,2887.61,2173622222
2019-10-03,2885.38,2911.13,2855.94,2910.63,1946466667
2019-10-04,2918.56,2953.74,2918.56,2952.01,1661572222
2019-10-07,2944.23,2959.75,2935.68,2938.79,1633411111
2019-10-08,2920.4,2925.47,2892.66,2893.06,1864694444
2019-10-09,2911.1,2929.32,2907.41,2919.4,1514900000
2019-10-10,2918.55,2948.46,2917.12,2938.13,1787361111
2019-10-11,2963.07,2993.28,2963.07,2970.27,1989144444
2019-10-14,2965.81,2972.84,2962.94,2966.15,1420566667
2019-10-15,2973.61,3003.28,2973.61,2995.68,1855966667
2019-10-16,2989.68,2997.54,2985.2,2989.69,1790316667
2019-10-17,3000.77,3008.29,2991.79,2997.95,1731088889
2019-10-18,2996.84,3000,2976.31,2986.2,1813494444
2019-10-21,2996.48,3007.33,2995.35,3006.72,1817566667
2019-10-22,3010.73,3014.57,2995.04,2995.99,1957716667
